       alpha  armijo  Global_min_finds (%)  Other_min_finds (%)  Out_of_iterations (%)  Average_number_of_iterations  Average_global_min_accuracy
0   1.038617    True                  86.0                 14.0                    0.0                          12.0                     0.000057
1   0.797565    True                  84.0                 16.0                    0.0                           9.0                     0.000026
2   0.794514    True                  82.0                 18.0                    0.0                           8.0                     0.000031
3   0.777448    True                  82.0                 18.0                    0.0                           8.0                     0.000038
4   0.824218    True                  82.0                 18.0                    0.0                           9.0                     0.000043
5   1.034575    True                  82.0                 18.0                    0.0                          11.0                     0.000062
6   0.807438    True                  80.0                 20.0                    0.0                           9.0                     0.000031
7   0.415061    True                  80.0                 20.0                    0.0                           9.0                     0.000048
8   0.291349    True                  80.0                 20.0                    0.0                          18.0                     0.000070
9   0.412644    True                  78.0                 22.0                    0.0                          10.0                     0.000048
10  1.078773    True                  78.0                 22.0                    0.0                          13.0                     0.000061
11  1.057609    True                  78.0                 22.0                    0.0                          12.0                     0.000062
12  0.250835    True                  78.0                 22.0                    0.0                          11.0                     0.000069
13  0.623772    True                  78.0                 22.0                    0.0                          27.0                     0.000076
14  0.658248    True                  78.0                 22.0                    0.0                          52.0                     0.000082
15  0.723631    True                  76.0                 24.0                    0.0                           7.0                     0.000018
16  0.362077    True                  76.0                 24.0                    0.0                           7.0                     0.000020
17  0.689267    True                  76.0                 24.0                    0.0                          49.0                     0.000024
18  1.078742    True                  76.0                 24.0                    0.0                          13.0                     0.000063
19  1.082458    True                  76.0                 24.0                    0.0                          13.0                     0.000065
20  1.081410    True                  76.0                 24.0                    0.0                          13.0                     0.000066
21  0.563319    True                  76.0                 24.0                    0.0                          15.0                     0.000067
22  0.605479    True                  76.0                 24.0                    0.0                          21.0                     0.000074
23  0.666783    True                  76.0                 24.0                    0.0                          67.0                     0.000084
24  0.694218    True                  74.0                 24.0                    2.0                          26.0                     0.000010
25  0.362285    True                  74.0                 26.0                    0.0                           7.0                     0.000018
26  0.344733    True                  74.0                 26.0                    0.0                          56.0                     0.000026
27  0.424916    True                  74.0                 26.0                    0.0                          11.0                     0.000041
28  0.818948    True                  74.0                 26.0                    0.0                          11.0                     0.000042
29  0.422597    True                  74.0                 26.0                    0.0                          11.0                     0.000043
30  0.828815    True                  74.0                 26.0                    0.0                          10.0                     0.000051
31  0.741961    True                  72.0                 28.0                    0.0                           8.0                     0.000051
32  0.988155    True                  72.0                 28.0                    0.0                           9.0                     0.000053
33  1.063880    True                  72.0                 28.0                    0.0                          11.0                     0.000059
34  0.443853    True                  70.0                 30.0                    0.0                          15.0                     0.000041
35  0.895443    True                  68.0                 32.0                    0.0                          16.0                     0.000046
36  0.980259    True                  68.0                 32.0                    0.0                           9.0                     0.000060
37  0.540716    True                  68.0                 32.0                    0.0                          12.0                     0.000062
38  0.897055    True                  66.0                 34.0                    0.0                          16.0                     0.000046
39  0.549747    True                  66.0                 34.0                    0.0                          12.0                     0.000067
40  0.527596    True                  64.0                 36.0                    0.0                          10.0                     0.000062
41  0.465964    True                  60.0                 40.0                    0.0                          14.0                     0.000051
42  0.938273    True                  60.0                 40.0                    0.0                          12.0                     0.000057
43  0.179616    True                  58.0                 42.0                    0.0                           9.0                     0.000013
44  0.094778   False                  58.0                 42.0                    0.0                          11.0                     0.000034
45  0.094778    True                  58.0                 42.0                    0.0                          11.0                     0.000034
46  0.102718   False                  58.0                 42.0                    0.0                          11.0                     0.000045
47  0.102718    True                  58.0                 42.0                    0.0                          11.0                     0.000045
48  0.063283   False                  58.0                 42.0                    0.0                          20.0                     0.000049
