        alpha  armijo  Global_min_finds (%)  Other_min_finds (%)  Out_of_iterations (%)  Average_number_of_iterations  Average_global_min_accuracy
0    0.344184    True             88.333333            11.666667               0.000000                          65.0                     0.000027
1    0.782663    True             88.333333            11.666667               0.000000                           8.0                     0.000043
2    0.338808    True             88.333333            11.666667               0.000000                         122.0                     0.000085
3    0.373568    True             86.666667            13.333333               0.000000                           7.0                     0.000029
4    0.336794    True             86.666667            13.333333               0.000000                          95.0                     0.000085
5    0.374616    True             85.000000            15.000000               0.000000                           8.0                     0.000022
6    0.805398    True             85.000000            15.000000               0.000000                           9.0                     0.000031
7    0.352726    True             85.000000            15.000000               0.000000                           6.0                     0.000057
8    0.305166    True             85.000000            15.000000               0.000000                          26.0                     0.000077
9    0.887903    True             83.333333            16.666667               0.000000                          14.0                     0.000043
10   1.062749    True             83.333333            16.666667               0.000000                          13.0                     0.000060
11   0.823512    True             81.666667            18.333333               0.000000                          11.0                     0.000043
12   0.249293    True             81.666667            18.333333               0.000000                          12.0                     0.000057
13   1.044023    True             81.666667            18.333333               0.000000                          12.0                     0.000058
14   0.272968    True             81.666667            18.333333               0.000000                          15.0                     0.000064
15   0.764919    True             80.000000            20.000000               0.000000                           9.0                     0.000025
16   0.775614    True             80.000000            20.000000               0.000000                           9.0                     0.000041
17   0.849985    True             80.000000            20.000000               0.000000                          12.0                     0.000048
18   0.228277    True             80.000000            20.000000               0.000000                          19.0                     0.000055
19   0.581700    True             80.000000            20.000000               0.000000                          18.0                     0.000076
20   0.762386    True             78.333333            21.666667               0.000000                           9.0                     0.000021
21   0.855324    True             78.333333            21.666667               0.000000                          12.0                     0.000036
22   0.299515    True             78.333333            21.666667               0.000000                          22.0                     0.000072
23   0.558444    True             78.333333            21.666667               0.000000                          14.0                     0.000073
24   0.222505    True             76.666667            23.333333               0.000000                          18.0                     0.000045
25   1.093535    True             76.666667            23.333333               0.000000                          15.0                     0.000062
26   1.033643    True             76.666667            23.333333               0.000000                          11.0                     0.000064
27   0.413681    True             75.000000            25.000000               0.000000                          10.0                     0.000050
28   0.324406    True             75.000000            25.000000               0.000000                          41.0                     0.000081
29   0.649596    True             75.000000            25.000000               0.000000                          43.0                     0.000084
30   0.766055    True             73.333333            26.666667               0.000000                           9.0                     0.000026
31   0.612027    True             73.333333            26.666667               0.000000                          23.0                     0.000075
32   0.812179    True             71.666667            28.333333               0.000000                          11.0                     0.000038
33   0.868822    True             71.666667            28.333333               0.000000                          14.0                     0.000046
34   0.413191    True             71.666667            28.333333               0.000000                          10.0                     0.000049
35   0.837848    True             71.666667            28.333333               0.000000                          13.0                     0.000060
36   1.029180    True             71.666667            28.333333               0.000000                          11.0                     0.000066
37   1.038131    True             70.000000            30.000000               0.000000                          11.0                     0.000059
38   0.656670    True             70.000000            30.000000               0.000000                          48.0                     0.000082
39   0.675515    True             66.666667            33.333333               0.000000                          86.0                     0.000084
40   0.195919    True             63.333333            36.666667               0.000000                          11.0                     0.000053
41   0.921566    True             63.333333            36.666667               0.000000                          23.0                     0.000056
42   0.520199    True             63.333333            36.666667               0.000000                          10.0                     0.000057
43   0.997938    True             63.333333            36.666667               0.000000                           9.0                     0.000059
44   0.424815    True             61.666667            38.333333               0.000000                          14.0                     0.000041
45   0.451125    True             61.666667            38.333333               0.000000                          18.0                     0.000048
46   1.014596    True             61.666667            38.333333               0.000000                          10.0                     0.000060
47   0.427869    True             56.666667            43.333333               0.000000                          15.0                     0.000040
48   0.083151   False             55.000000            45.000000               0.000000                          17.0                     0.000011
49   0.083151    True             55.000000            45.000000               0.000000                          17.0                     0.000011
50   0.077641   False             55.000000            45.000000               0.000000                          19.0                     0.000024
51   0.077641    True             55.000000            45.000000               0.000000                          19.0                     0.000024
52   0.073775   False             55.000000            45.000000               0.000000                          20.0                     0.000037
53   0.073775    True             55.000000            45.000000               0.000000                          20.0                     0.000037
54   0.064740   False             55.000000            45.000000               0.000000                          24.0                     0.000050
55   0.064740    True             55.000000            45.000000               0.000000                          24.0                     0.000050
56   0.963147    True             55.000000            45.000000               0.000000                          12.0                     0.000052
57   0.048083   False             55.000000            45.000000               0.000000                          34.0                     0.000060
58   0.048083    True             55.000000            45.000000               0.000000                          34.0                     0.000060
59   0.490315    True             55.000000            45.000000               0.000000                           8.0                     0.000068
