             x0     alpha  armijo  is_global_min_found  number_of_iterations  global_min_accuracy  found_value  known_function_min
0     -2.998408  0.086733   False                 True                    12             0.000001    -0.414910           -0.414912
1     -2.998408  0.086733    True                 True                    12             0.000001    -0.414910           -0.414912
2     -5.041378  0.086733   False                 True                    15             0.000003    -0.414909           -0.414912
3     -5.041378  0.086733    True                 True                    15             0.000003    -0.414909           -0.414912
4     10.973060  0.358139    True                 True                     5             0.000003    -0.414908           -0.414912
5     -4.894154  0.358139    True                 True                     5             0.000004    -0.414907           -0.414912
6     -2.127882  0.086733   False                 True                    11             0.000004    -0.414907           -0.414912
7     -2.127882  0.086733    True                 True                    11             0.000004    -0.414907           -0.414912
8     -5.041378  0.358139    True                 True                     5             0.000005    -0.414907           -0.414912
9      2.192700  0.358139    True                 True                     5             0.000005    -0.414906           -0.414912
10     3.155587  0.358139    True                 True                     5             0.000005    -0.414906           -0.414912
11    -2.276721  0.358139    True                 True                     6             0.000005    -0.414906           -0.414912
12     3.825937  0.940047   False                 True                   247             0.000005    -0.414906           -0.414912
13   -13.857267  0.358139    True                 True                     6             0.000006    -0.414906           -0.414912
14   -13.356896  0.358139    True                 True                     6             0.000006    -0.414905           -0.414912
15     9.722525  0.358139    True                 True                     5             0.000006    -0.414905           -0.414912
16     9.625384  0.745084    True                 True                     7             0.000007    -0.414918           -0.414912
17     1.999779  0.745084    True                 True                     5             0.000007    -0.414918           -0.414912
18    -9.263166  0.745084    True                 True                     9             0.000007    -0.414918           -0.414912
19     7.742246  0.745084    True                 True                     6             0.000007    -0.414918           -0.414912
20    -7.970052  0.358139    True                 True                     5             0.000007    -0.414905           -0.414912
21     5.357922  0.358139    True                 True                     5             0.000007    -0.414905           -0.414912
22     1.999779  0.358139    True                 True                     4             0.000007    -0.414905           -0.414912
23     0.006362  0.358139    True                 True                     4             0.000007    -0.414905           -0.414912
24    -2.276721  0.745084    True                 True                     4             0.000007    -0.414919           -0.414912
25    12.372163  0.358139    True                 True                     6             0.000007    -0.414905           -0.414912
26     4.619208  0.358139    True                 True                     6             0.000007    -0.414904           -0.414912
27    13.056749  0.358139    True                 True                     7             0.000007    -0.414904           -0.414912
28     9.625384  0.358139    True                 True                     6             0.000007    -0.414904           -0.414912
29    -2.998408  0.358139    True                 True                     5             0.000008    -0.414904           -0.414912
30     5.906892  0.358139    True                 True                     9             0.000008    -0.414904           -0.414912
31    -5.317393  0.358139    True                 True                     6             0.000008    -0.414904           -0.414912
32    -4.617293  0.358139    True                 True                     6             0.000008    -0.414904           -0.414912
33    -8.657883  0.358139    True                 True                     8             0.000008    -0.414904           -0.414912
34    -2.127882  0.358139    True                 True                     7             0.000008    -0.414904           -0.414912
35    -9.568790  0.358139    True                 True                     6             0.000008    -0.414904           -0.414912
36    -0.053171  0.358139    True                 True                     4             0.000008    -0.414904           -0.414912
37    12.832422  0.358139    True                 True                     7             0.000008    -0.414904           -0.414912
38   -13.737198  0.358139    True                 True                     7             0.000008    -0.414904           -0.414912
39    -9.422631  0.358139    True                 True                     7             0.000008    -0.414903           -0.414912
40     6.453760  0.358139    True                 True                     6             0.000008    -0.414903           -0.414912
41     7.710597  0.358139    True                 True                     7             0.000008    -0.414903           -0.414912
42    -9.263166  0.358139    True                 True                     6             0.000008    -0.414903           -0.414912
43     0.006362  0.751330    True                 True                     5             0.000009    -0.414920           -0.414912
44    -9.263166  0.751330    True                 True                    12             0.000009    -0.414921           -0.414912
45    13.056749  0.751330    True                 True                     9             0.000009    -0.414921           -0.414912
46    -9.878471  0.751330    True                 True                     9             0.000009    -0.414921           -0.414912
47   -12.879656  0.751330    True                 True                    10             0.000009    -0.414921           -0.414912
48    10.973060  0.751330    True                 True                     9             0.000009    -0.414921           -0.414912
49     4.619208  0.759179   False                 True                   770             0.000010    -0.414921           -0.414912
50     5.906892  0.751330    True                 True                    10             0.000010    -0.414921           -0.414912
51    -4.617293  0.751330    True                 True                     7             0.000010    -0.414921           -0.414912
52     1.468039  0.759179    True                 True                     5             0.000010    -0.414921           -0.414912
53    -5.317393  0.751330    True                 True                     7             0.000010    -0.414921           -0.414912
54     7.742246  0.759179    True                 True                     7             0.000010    -0.414921           -0.414912
55    -0.053171  0.751330    True                 True                     5             0.000010    -0.414921           -0.414912
56     4.937668  0.751330    True                 True                     6             0.000010    -0.414921           -0.414912
57     3.825937  0.751330    True                 True                     6             0.000010    -0.414921           -0.414912
58     7.710597  0.751330    True                 True                     8             0.000010    -0.414921           -0.414912
59    -7.970052  0.751330    True                 True                     7             0.000010    -0.414922           -0.414912
60     1.422025  0.751330    True                 True                     6             0.000010    -0.414922           -0.414912
